lat_grid,lon_grid,hour,day_of_week,count_trips
51.076,71.42,11,6,12
51.076,71.42,12,0,24
51.076,71.42,12,1,18
51.076,71.42,12,2,17
51.076,71.42,12,3,21
51.076,71.42,12,4,23
51.076,71.42,12,5,19
51.076,71.42,12,6,20
51.076,71.42,13,0,25
51.076,71.42,13,1,17
51.076,71.42,13,2,16
51.076,71.42,13,3,22
51.076,71.42,13,4,18
51.076,71.42,13,5,8
51.076,71.42,13,6,18
51.076,71.42,14,0,26
51.076,71.42,14,1,15
51.076,71.42,14,2,18
51.076,71.42,14,3,21
51.076,71.42,14,4,13
51.076,71.42,14,5,19
51.076,71.42,14,6,23
51.076,71.42,15,0,14
51.076,71.42,15,1,20
51.076,71.42,15,2,17
51.076,71.42,15,3,13
51.076,71.42,15,4,14
51.076,71.42,15,5,13
51.076,71.42,15,6,11
51.076,71.42,16,0,19
51.076,71.42,16,1,20
51.076,71.42,16,2,9
51.076,71.42,16,3,11
51.076,71.42,16,4,13
51.076,71.42,16,5,27
51.076,71.42,16,6,10
51.076,71.42,17,0,17
51.076,71.42,17,1,26
51.076,71.42,17,2,16
51.076,71.42,17,3,16
51.076,71.42,17,4,19
51.076,71.42,17,5,21
51.076,71.42,17,6,18
51.076,71.42,18,0,19
51.076,71.42,18,1,15
51.076,71.42,18,2,19
51.076,71.42,18,3,19
51.076,71.42,18,4,15
51.076,71.42,18,5,20
51.076,71.42,18,6,14
51.076,71.42,19,0,16
51.076,71.42,19,1,20
51.076,71.42,19,2,16
51.076,71.42,19,3,21
51.076,71.42,19,4,21
51.076,71.42,19,5,14
51.076,71.42,19,6,13
51.076,71.42,20,0,24
51.076,71.42,20,1,16
51.076,71.42,20,2,13
51.076,71.42,20,3,15
51.076,71.42,20,4,16
51.076,71.42,20,5,17
51.076,71.42,20,6,20
51.076,71.42,21,0,23
51.076,71.42,21,1,18
51.076,71.42,21,2,17
51.076,71.42,21,3,20
51.076,71.42,21,4,11
51.076,71.42,21,5,17
51.076,71.42,21,6,17
51.076,71.42,22,0,20
51.076,71.42,22,1,12
51.076,71.42,22,2,15
51.076,71.42,22,3,13
51.076,71.42,22,4,16
51.076,71.42,22,5,16
51.076,71.42,22,6,21
51.076,71.42,23,0,18
51.076,71.42,23,1,29
51.076,71.42,23,2,16
51.076,71.42,23,3,12
51.076,71.42,23,4,15
51.076,71.42,23,5,22
51.076,71.42,23,6,19
51.076,71.421,0,0,1
51.076,71.421,0,1,2
51.076,71.421,0,2,1
51.076,71.421,0,3,7
51.076,71.421,0,4,1
51.076,71.421,0,5,2
51.076,71.421,0,6,1
51.076,71.421,1,1,2
51.076,71.421,1,2,4
51.076,71.421,1,3,2
51.076,71.421,1,4,5
51.076,71.421,1,6,1
51.076,71.421,2,0,1
51.076,71.421,2,1,2
51.076,71.421,2,4,1
51.076,71.421,3,0,1
51.076,71.421,3,2,6
51.076,71.421,3,3,3
51.076,71.421,3,6,2
51.076,71.421,4,0,5
51.076,71.421,4,1,3
51.076,71.421,4,6,2
51.076,71.421,5,0,2
51.076,71.421,5,1,1
51.076,71.421,5,3,1
51.076,71.421,5,4,1
51.076,71.421,6,0,2
51.076,71.421,6,1,2
51.076,71.421,6,3,1
51.076,71.421,6,5,3
51.076,71.421,7,0,4
51.076,71.421,7,1,2
51.076,71.421,7,2,1
51.076,71.421,7,3,1
51.076,71.421,8,0,5
51.076,71.421,8,1,8
51.076,71.421,8,2,4
51.076,71.421,8,4,1
51.076,71.421,8,5,3
51.076,71.421,8,6,7
51.076,71.421,9,0,5
51.076,71.421,9,2,3
51.076,71.421,9,3,1
51.076,71.421,9,5,2
51.076,71.421,9,6,3
51.076,71.421,10,1,5
51.076,71.421,10,2,7
51.076,71.421,10,3,2
51.076,71.421,10,4,1
51.076,71.421,10,5,1
51.076,71.421,10,6,1
51.076,71.421,11,1,3
51.076,71.421,11,2,2
51.076,71.421,11,5,1
51.076,71.421,11,6,3
51.076,71.421,12,0,1
51.076,71.421,12,1,1
51.076,71.421,12,3,7
51.076,71.421,12,4,1
51.076,71.421,12,6,5
51.076,71.421,13,0,1
51.076,71.421,13,1,1
51.076,71.421,13,2,2
51.076,71.421,13,3,1
51.076,71.421,13,4,1
51.076,71.421,13,6,2
51.076,71.421,14,1,4
51.076,71.421,14,2,1
51.076,71.421,14,3,2
51.076,71.421,15,0,1
51.076,71.421,15,1,1
51.076,71.421,15,3,2
51.076,71.421,16,1,3
51.076,71.421,16,3,1
51.076,71.421,16,4,1
51.076,71.421,16,5,4
51.076,71.421,16,6,3
51.076,71.421,17,2,1
51.076,71.421,17,4,1
51.076,71.421,17,5,1
51.076,71.421,17,6,4
51.076,71.421,18,1,3
51.076,71.421,18,4,2
51.076,71.421,18,6,3
51.076,71.421,19,0,1
51.076,71.421,19,1,2
51.076,71.421,19,3,2
51.076,71.421,19,6,3
51.076,71.421,20,1,2
51.076,71.421,20,2,5
51.076,71.421,20,3,1
51.076,71.421,20,4,2
51.076,71.421,20,6,3
51.076,71.421,21,1,1
51.076,71.421,21,2,1
51.076,71.421,21,4,1
51.076,71.421,21,5,1
51.076,71.421,21,6,2
51.076,71.421,22,0,1
51.076,71.421,22,2,1
51.076,71.421,22,4,2
51.076,71.421,22,6,1
51.076,71.421,23,0,2
51.076,71.421,23,1,1
51.076,71.421,23,2,2
51.076,71.421,23,3,7
51.076,71.421,23,5,5
51.076,71.421,23,6,3
51.076,71.422,0,3,3
51.076,71.422,0,5,1
51.076,71.422,0,6,3
51.076,71.422,2,0,1
51.076,71.422,3,5,2
51.076,71.422,7,1,1
51.076,71.422,11,0,1
51.076,71.422,11,4,1
51.076,71.422,11,5,1
51.076,71.422,11,6,1
51.076,71.422,12,0,1
51.076,71.422,12,3,1
51.076,71.422,15,1,1
51.076,71.422,16,1,1
51.076,71.422,18,2,1
51.076,71.422,18,3,1
51.076,71.422,19,3,1
51.076,71.422,19,6,1
51.076,71.422,20,6,3
51.076,71.422,21,1,2
51.076,71.422,22,5,1
51.076,71.423,0,2,1
51.076,71.423,0,3,1
51.076,71.423,0,6,1
51.076,71.423,1,5,1
51.076,71.423,2,3,1
51.076,71.423,2,5,1
51.076,71.423,3,2,1
51.076,71.423,3,4,1
51.076,71.423,3,5,2
51.076,71.423,5,5,1
51.076,71.423,10,0,1
51.076,71.423,10,1,1
51.076,71.423,12,1,1
51.076,71.423,13,0,1
51.076,71.423,13,5,2
51.076,71.423,14,5,1
51.076,71.423,14,6,2
51.076,71.423,16,3,1
51.076,71.423,17,6,1
51.076,71.423,19,6,1
51.076,71.423,20,6,1
51.076,71.423,22,5,1
51.076,71.423,23,1,4
51.076,71.423,23,2,1
51.077,71.407,0,0,3
51.077,71.407,0,1,2
51.077,71.407,0,4,1
51.077,71.407,0,6,2
51.077,71.407,1,1,1
51.077,71.407,1,5,2
51.077,71.407,1,6,1
51.077,71.407,2,1,1
51.077,71.407,2,2,1
51.077,71.407,2,3,1
51.077,71.407,2,5,2
51.077,71.407,2,6,2
51.077,71.407,3,1,1
51.077,71.407,3,3,2
51.077,71.407,3,4,1
51.077,71.407,3,5,1
51.077,71.407,4,0,1
51.077,71.407,4,1,2
51.077,71.407,4,2,5
51.077,71.407,4,4,1
51.077,71.407,4,5,1
51.077,71.407,4,6,3
51.077,71.407,5,0,2
51.077,71.407,5,3,1
51.077,71.407,5,6,1
51.077,71.407,6,0,5
51.077,71.407,6,4,1
51.077,71.407,6,5,1
51.077,71.407,6,6,1
51.077,71.407,7,2,4
51.077,71.407,7,4,2
51.077,71.407,7,5,1
51.077,71.407,8,0,2
51.077,71.407,8,1,5
51.077,71.407,8,2,1
51.077,71.407,8,5,1
51.077,71.407,8,6,1
51.077,71.407,9,0,2
51.077,71.407,9,1,2
51.077,71.407,9,2,3
51.077,71.407,9,5,1
51.077,71.407,9,6,2
51.077,71.407,10,0,1
51.077,71.407,10,1,3
51.077,71.407,10,2,3
51.077,71.407,10,4,4
51.077,71.407,11,1,4
51.077,71.407,11,2,2
51.077,71.407,11,3,1
51.077,71.407,11,4,2
51.077,71.407,11,6,2
51.077,71.407,12,0,2
51.077,71.407,12,1,5
51.077,71.407,12,2,1
51.077,71.407,12,3,3
51.077,71.407,13,0,1
51.077,71.407,13,1,2
51.077,71.407,13,2,2
51.077,71.407,13,3,1
51.077,71.407,13,4,1
51.077,71.407,13,5,2
51.077,71.407,13,6,2
51.077,71.407,14,1,2
51.077,71.407,14,2,1
51.077,71.407,14,3,1
51.077,71.407,14,4,1
51.077,71.407,14,5,3
51.077,71.407,15,0,3
51.077,71.407,15,1,1
51.077,71.407,15,3,1
51.077,71.407,15,5,1
51.077,71.407,15,6,1
51.077,71.407,16,0,1
51.077,71.407,16,1,3
51.077,71.407,16,5,1
51.077,71.407,16,6,1
51.077,71.407,17,0,1
51.077,71.407,17,1,2
51.077,71.407,17,2,1
51.077,71.407,17,4,9
51.077,71.407,17,5,1
51.077,71.407,17,6,3
51.077,71.407,18,0,2
51.077,71.407,18,1,1
51.077,71.407,18,3,2
51.077,71.407,18,4,2
51.077,71.407,18,5,6
51.077,71.407,18,6,3
51.077,71.407,19,0,1
51.077,71.407,19,1,2
51.077,71.407,19,2,2
51.077,71.407,19,5,5
51.077,71.407,19,6,1
51.077,71.407,20,1,3
51.077,71.407,20,3,2
51.077,71.407,20,5,1
51.077,71.407,20,6,2
51.077,71.407,21,2,1
51.077,71.407,21,3,2
51.077,71.407,21,5,2
51.077,71.407,21,6,4
51.077,71.407,22,0,1
51.077,71.407,22,1,1
51.077,71.407,22,4,1
51.077,71.407,22,5,1
51.077,71.407,22,6,1
51.077,71.407,23,0,3
51.077,71.407,23,2,3
51.077,71.407,23,3,2
51.077,71.407,23,4,1
51.077,71.407,23,5,1
51.077,71.411,0,4,2
51.077,71.411,1,3,3
51.077,71.411,3,3,1
51.077,71.411,4,3,1
51.077,71.411,5,0,1
51.077,71.411,5,3,1
51.077,71.411,6,5,4
51.077,71.411,8,2,1
51.077,71.411,9,2,1
51.077,71.411,9,4,1
51.077,71.411,10,4,1
51.077,71.411,10,6,1
51.077,71.411,11,4,1
51.077,71.411,11,5,2
51.077,71.411,12,0,1
51.077,71.411,13,1,1
51.077,71.411,13,3,2
51.077,71.411,14,2,1
51.077,71.411,15,1,1
51.077,71.411,15,2,1
51.077,71.411,16,5,1
51.077,71.411,18,3,1
51.077,71.411,19,6,2
51.077,71.411,20,3,1
51.077,71.411,21,4,1
51.077,71.411,22,0,1
51.077,71.411,22,3,1
51.077,71.411,22,5,1
51.077,71.411,23,4,2
51.077,71.414,2,1,1
51.077,71.414,7,0,1
51.077,71.414,9,4,2
51.077,71.414,15,0,1
51.077,71.414,15,6,1
51.077,71.414,16,0,1
51.077,71.414,16,6,1
51.077,71.414,17,1,2
51.077,71.414,22,3,1
51.077,71.414,23,3,1
51.077,71.415,5,0,1
51.077,71.415,7,0,1
51.077,71.415,7,4,2
51.077,71.415,9,3,1
51.077,71.415,10,3,1
51.077,71.415,14,3,1
51.077,71.415,15,1,1
51.077,71.415,15,2,1
51.077,71.415,16,5,2
51.077,71.416,0,0,1
51.077,71.416,0,1,2
51.077,71.416,0,2,1
51.077,71.416,0,3,6
51.077,71.416,0,4,5
51.077,71.416,0,5,5
51.077,71.416,0,6,2
51.077,71.416,1,0,3
51.077,71.416,1,2,1
51.077,71.416,1,3,5
51.077,71.416,1,4,2
51.077,71.416,1,5,1
51.077,71.416,1,6,2
51.077,71.416,2,1,2
51.077,71.416,2,3,2
51.077,71.416,2,4,4
51.077,71.416,2,6,3
51.077,71.416,3,0,4
51.077,71.416,3,1,6
51.077,71.416,3,2,3
51.077,71.416,3,3,6
51.077,71.416,3,4,1
51.077,71.416,3,5,4
51.077,71.416,3,6,7
51.077,71.416,4,0,2
51.077,71.416,4,1,1
51.077,71.416,4,2,3
51.077,71.416,4,3,7
51.077,71.416,4,4,6
51.077,71.416,4,5,3
51.077,71.416,4,6,1
51.077,71.416,5,0,2
51.077,71.416,5,1,5
51.077,71.416,5,2,3
51.077,71.416,5,3,1
51.077,71.416,5,4,1
51.077,71.416,5,5,5
51.077,71.416,5,6,5
51.077,71.416,6,0,2
51.077,71.416,6,1,2
51.077,71.416,6,2,2
51.077,71.416,6,4,4
51.077,71.416,6,6,3
51.077,71.416,7,0,4
51.077,71.416,7,1,3
51.077,71.416,7,2,3
51.077,71.416,7,3,5
51.077,71.416,7,4,3
51.077,71.416,7,5,6
51.077,71.416,7,6,6
51.077,71.416,8,0,3
51.077,71.416,8,1,6
51.077,71.416,8,3,7
51.077,71.416,8,4,4
51.077,71.416,8,6,4
51.077,71.416,9,0,10
51.077,71.416,9,2,1
51.077,71.416,9,3,6
51.077,71.416,9,4,2
51.077,71.416,9,5,3
51.077,71.416,9,6,6
51.077,71.416,10,0,5
51.077,71.416,10,1,4
51.077,71.416,10,2,3
51.077,71.416,10,3,1
51.077,71.416,10,4,4
51.077,71.416,10,5,3
51.077,71.416,10,6,4
51.077,71.416,11,0,2
51.077,71.416,11,1,6
51.077,71.416,11,2,2
51.077,71.416,11,4,3
51.077,71.416,11,6,5
51.077,71.416,12,0,3
51.077,71.416,12,1,3
51.077,71.416,12,2,4
51.077,71.416,12,3,1
51.077,71.416,12,4,1
51.077,71.416,12,5,3
51.077,71.416,12,6,4
51.077,71.416,13,0,2
51.077,71.416,13,1,5
51.077,71.416,13,2,4
51.077,71.416,13,3,2
51.077,71.416,13,4,1
51.077,71.416,13,6,2
51.077,71.416,14,0,2
51.077,71.416,14,1,3
51.077,71.416,14,2,2
51.077,71.416,14,3,3
51.077,71.416,14,5,5
51.077,71.416,14,6,2
51.077,71.416,15,0,1
51.077,71.416,15,1,2
51.077,71.416,15,2,5
51.077,71.416,15,3,6
51.077,71.416,15,4,1
51.077,71.416,15,5,4
51.077,71.416,15,6,3
51.077,71.416,16,0,3
51.077,71.416,16,1,2
51.077,71.416,16,2,2
51.077,71.416,16,3,3
51.077,71.416,16,4,1
51.077,71.416,16,5,6
51.077,71.416,16,6,3
51.077,71.416,17,0,1
51.077,71.416,17,1,4
51.077,71.416,17,2,3
51.077,71.416,17,3,2
51.077,71.416,17,4,4
51.077,71.416,17,5,1
51.077,71.416,17,6,4
51.077,71.416,18,0,3
51.077,71.416,18,1,3
51.077,71.416,18,3,1
51.077,71.416,18,4,7
51.077,71.416,18,5,4
51.077,71.416,18,6,2
51.077,71.416,19,0,1
51.077,71.416,19,1,2
51.077,71.416,19,2,2
51.077,71.416,19,3,3
51.077,71.416,19,4,5
51.077,71.416,19,5,4
51.077,71.416,19,6,3
51.077,71.416,20,0,2
51.077,71.416,20,1,5
51.077,71.416,20,2,2
51.077,71.416,20,3,4
51.077,71.416,20,4,5
51.077,71.416,20,5,1
51.077,71.416,20,6,4
51.077,71.416,21,0,3
51.077,71.416,21,1,2
51.077,71.416,21,2,3
51.077,71.416,21,3,3
51.077,71.416,21,4,1
51.077,71.416,21,5,2
51.077,71.416,21,6,8
51.077,71.416,22,0,1
51.077,71.416,22,1,3
51.077,71.416,22,2,2
51.077,71.416,22,3,2
51.077,71.416,22,4,5
51.077,71.416,22,6,7
51.077,71.416,23,0,1
51.077,71.416,23,1,2
51.077,71.416,23,2,4
51.077,71.416,23,3,2
51.077,71.416,23,4,4
51.077,71.416,23,5,1
51.077,71.417,0,0,1
51.077,71.417,0,2,2
51.077,71.417,0,3,1
51.077,71.417,0,5,3
51.077,71.417,0,6,1
51.077,71.417,1,0,1
51.077,71.417,1,2,1
51.077,71.417,1,3,2
51.077,71.417,1,4,2
51.077,71.417,1,5,1
51.077,71.417,1,6,1
51.077,71.417,2,0,1
51.077,71.417,2,1,1
51.077,71.417,2,2,2
51.077,71.417,2,3,1
51.077,71.417,2,5,1
51.077,71.417,2,6,1
51.077,71.417,3,0,2
51.077,71.417,3,1,1
51.077,71.417,3,3,2
51.077,71.417,3,5,2
51.077,71.417,3,6,3
51.077,71.417,4,0,1
51.077,71.417,4,5,1
51.077,71.417,4,6,1
51.077,71.417,5,0,1
51.077,71.417,5,1,2
51.077,71.417,5,2,1
